parentID;ID;code;name;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
239;254;taimekasti_p6hi_02;;True;2122;322;18;1;;;Part;;;
254;255;taimekasti_p6hi_02 WP 1;WP of ;True;2122;322;18;0,683;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
239;258;taimekasti_sokli_serv_02;;True;2140;60;39;2;;;Part;;;
258;259;taimekasti_sokli_serv_02 WP 1;WP of ;True;2140;60;39;0,128;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
239;261;taimekasti_sokli_ots_02;;True;220;60;39;2;;;Part;;;
261;262;taimekasti_sokli_ots_02 WP 1;WP of ;True;220;60;39;0,013;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
239;21;taimekasti_LED_kate_02;;;;;;1;;;Purchased;;;
239;22;taimekasti_RST_vann_02;;;;;;1;;;Purchased;;;
239;233;plastiktald;;;;;;4;;;Purchased;;;
239;45;puit_tyybel_8x35;;;;;;22;;;Purchased;;;
239;265;RST sokliplekk 2142x39;;;;;;2;;;Purchased;;;
239;266;RST sokliplekk 340x39;;;;;;2;;;Purchased;;;
239;267;LED Alu nurgaprofiilis L=2170;;;;;;2;;;Purchased;;;
239;268;LED Alu nurgaprofiilis L=370;;;;;;2;;;Purchased;;;
1;269;182843_Veeauru_kamin_EM_03;;;;;;1;;;Assembly;;;
269;270;Veeauru_kamina_otsakapp;;;;;;1;;;Assembly;;;
270;302;kaminakapi_vasak_uks;;;;;;1;;;Assembly;;;
302;303;kaminakapi_vasak_uks;;True;529;388;16;1;;;Part;;;
303;304;kaminakapi_vasak_uks WP 1;WP of ;True;388;529;16;0,205;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
303;306;kaminakapi_vasak_uks WP 2;WP of ;False;388;16;2;0,388;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
303;308;kaminakapi_vasak_uks WP 3;WP of ;False;529;16;2;0,529;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
303;310;kaminakapi_vasak_uks WP 4;WP of ;False;388;16;2;0,388;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
303;312;kaminakapi_vasak_uks WP 5;WP of ;False;529;16;2;0,529;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
302;314;kaminakapi_ukse_ribi;;True;407;40;19;9;;;Part;;;
314;315;kaminakapi_ukse_ribi WP 1;WP of ;True;417;40;19;0,017;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
314;317;kaminakapi_ukse_ribi WP 2;WP of ;False;44;27;2;0,044;m;Inward;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
314;319;kaminakapi_ukse_ribi WP 3;WP of ;False;407;19;2;0,407;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
314;321;kaminakapi_ukse_ribi WP 4;WP of ;False;40;19;2;0,04;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
314;323;kaminakapi_ukse_ribi WP 5;WP of ;False;407;19;2;0,407;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
270;325;kaminakapi_parem_uks;;;;;;1;;;Assembly;;;
325;326;kaminakapi_parem_uks;;True;529;388;16;1;;;Part;;;
326;327;kaminakapi_parem_uks WP 1;WP of ;True;388;529;16;0,205;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
326;329;kaminakapi_parem_uks WP 2;WP of ;False;388;16;2;0,388;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
326;331;kaminakapi_parem_uks WP 3;WP of ;False;529;16;2;0,529;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
326;333;kaminakapi_parem_uks WP 4;WP of ;False;388;16;2;0,388;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
326;335;kaminakapi_parem_uks WP 5;WP of ;False;529;16;2;0,529;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
325;314;kaminakapi_ukse_ribi;;True;407;40;19;9;;;Part;;;
314;315;kaminakapi_ukse_ribi WP 1;WP of ;True;417;40;19;0,017;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
314;317;kaminakapi_ukse_ribi WP 2;WP of ;False;44;27;2;0,044;m;Inward;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
314;319;kaminakapi_ukse_ribi WP 3;WP of ;False;407;19;2;0,407;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
314;321;kaminakapi_ukse_ribi WP 4;WP of ;False;40;19;2;0,04;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
314;323;kaminakapi_ukse_ribi WP 5;WP of ;False;407;19;2;0,407;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
270;271;kaminakapi_p6hi;;False;1032;372;16;1;;;Part;;;
271;272;kaminakapi_p6hi WP 1;WP of ;False;1032;372;16;0,384;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
271;274;kaminakapi_p6hi WP 2;WP of ;False;1032;16;2;1,032;m;Front;Cover Workpiece;Edge Band;ABS;EG_U999
270;276;kaminakapi_otsakilp;;True;390;372;16;1;;;Part;;;
276;277;kaminakapi_otsakilp WP 1;WP of ;True;390;372;16;0,145;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
276;279;kaminakapi_otsakilp WP 2;WP of ;False;390;16;2;0,39;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
