parentID;ID;code;name;comments;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
36;37;Y1_yhendus_latt WP 1;WP of ;;False;823;120;18;0,099;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
3;39;Y1_sise_sokkel;;;False;1250;68;18;1;;;Part;;;
39;40;Y1_sise_sokkel WP 1;WP of ;;False;1250;68;18;0,085;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
39;42;Y1_sise_sokkel WP 2;WP of ;;False;1250;18;1;1,25;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
39;44;Y1_sise_sokkel WP 3;WP of ;;False;68;18;1;0,068;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
39;46;Y1_sise_sokkel WP 4;WP of ;;False;68;18;1;0,068;m;Left;Cover Workpiece;Edge Band;ABS;EG_F187
3;48;Y1_v2lis_sokkel;;;False;1450;68;18;1;;;Part;;;
48;49;Y1_v2lis_sokkel WP 1;WP of ;;False;1450;68;18;0,099;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
48;51;Y1_v2lis_sokkel WP 2;WP of ;;False;1450;18;1;1,45;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
48;53;Y1_v2lis_sokkel WP 3;WP of ;;False;68;18;1;0,068;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
48;55;Y1_v2lis_sokkel WP 4;WP of ;;False;68;18;1;0,068;m;Left;Cover Workpiece;Edge Band;ABS;EG_F187
3;57;Y1_t66pinna_vasak_serv;;;True;680;50;21;1;;;Part;;;
57;58;Y1_t66pinna_vasak_serv WP 1;WP of ;;True;680;50;21;0,034;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
57;60;Y1_t66pinna_vasak_serv WP 2;WP of ;;False;;;0;0;m²;Left, Front, Bottom;Cover Workpiece;Paint;värv;RAL_9011
3;68;Y1_t66pinna_parem_serv;;;True;680;300;21;1;;;Part;;;
68;69;Y1_t66pinna_parem_serv WP 1;WP of ;;True;680;300;21;0,204;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
68;71;Y1_t66pinna_parem_serv WP 2;WP of ;;False;;;0;0;m²;Left, Back, Front, Bottom;Cover Workpiece;Paint;värv;RAL_9011
3;89;Y1_t66pinna_tugiliist;;;True;1214;80;21;1;;;Part;;;
89;90;Y1_t66pinna_tugiliist WP 1;WP of ;;True;1214;80;21;0,097;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
89;92;Y1_t66pinna_tugiliist WP 2;WP of ;;False;;;0;0;m²;Front, Bottom;Cover Workpiece;Paint;värv;RAL_9011
3;607;puit_tyybel_8x35;;;;;;;12;;;Purchased;;;
3;13;Kruvitõmmits 5x50;;;;;;;20;;;Purchased;;;
3;13;Kruvitõmmits 5x50;;;;;;;15;;;Purchased;;;
3;16;Sokli korrigeerija MF 300-00-Z2-00-Z2;;;;;;;4;;;Purchased;;;
1;96;moodul_A2;;;;;;;1;;;Assembly;;;
